variable,file,level1,value1,level2,value2,level3,value3,level4,value4,level5,value5,code,size
SEWINGY,CLC,"Clothing, Fabric, and Acc",4,Sewing Materials,5,Combined sewing materials (400-430),440.0,not,not,not,not,440,0
SEWINGY,CLC,"Clothing, Fabric, and Acc",4,Sewing Materials,5,Other sewing materials,430.0,not,not,not,not,430,0
SEWINGY,CLC,Other,4,Miscellaneous Expenses,58,Other sewing materials,455.0,not,not,not,not,430,0
SEWINGY,CLC,"Clothing, Fabric, and Acc",4,Sewing Materials,5,"Sewing material for slipcovers, curtains, or for other home handiwork",400.0,not,not,not,not,400,0
SEWINGY,CLC,"Clothing, Fabric, and Acc",4,Sewing Materials,5,Sewing materials for making clothing,410.0,not,not,not,not,410,0
SEWINGY,CLC,"Clothing, Fabric, and Acc",4,Sewing Materials,5,Sewing notions,420.0,not,not,not,not,420,0
SEWINGY,CLC,Other,4,Miscellaneous Expenses,58,Sewing notions,450.0,not,not,not,not,420,0
CLOTHYD,CLD,"Clothing, Fabric, and Acc",4,Clothing Services,8,Clothing storage,490.0,not,not,not,not,490,0
CLOTHYD,CLD,"Clothing, Fabric, and Acc",4,Clothing Services,8,Clothing rental,480.0,not,not,not,not,480,0
CLOTHYD,CLD,"Clothing, Fabric, and Acc",4,Clothing Services,8,Clothing or accessory rental,480.0,not,not,not,not,480,0
CLOTHYD,CLD,"Clothing, Fabric, and Acc",4,Clothing Services,8,Clothing storage outside the home,490.0,not,not,not,not,490,0
CLOTHYD,CLD,"Clothing, Fabric, and Acc",4,Clothing Services,8,Combined expenses (450-490),500.0,not,not,not,not,500,181740000
CLOTHYD,CLD,"Clothing, Fabric, and Acc",4,Clothing Services,8,"Repair, alteration and tailoring for clothing and accessories",450.0,not,not,not,not,450,63266400
CLOTHYD,CLD,"Clothing, Fabric, and Acc",4,Clothing Services,8,Shoe repair and other shoe services,460.0,not,not,not,not,460,0
CLOTHYD,CLD,"Clothing, Fabric, and Acc",4,Clothing Services,8,Watch or jewelry repair,470.0,not,not,not,not,470,0
CONTCODE,CNT,Other,4,Miscellaneous Expenses - Contributions,10,Tax Rebate,800.0,not,not,not,not,800,10839446400
CONTCODE,CNT,Other,4,Miscellaneous Expenses - Contributions,10,Alimony,120.0,not,not,not,not,120,2768992320
CONTCODE,CNT,Other,4,Miscellaneous Expenses,58,Alimony,310.0,not,not,not,not,120,2768992320
CONTCODE,CNT,Other,4,Miscellaneous Expenses - Contributions,10,Any and all other persons not in your CU,170.0,not,not,not,not,170,434975600
CONTCODE,CNT,Other,4,Miscellaneous Expenses - Contributions,10,Charities and all other organizations,160.0,not,not,not,not,160,1720904960
CONTCODE,CNT,Other,4,Miscellaneous Expenses - Contributions,10,Child Support,110.0,not,not,not,not,110,449657120
CONTCODE,CNT,Other,4,Miscellaneous Expenses,58,Child Support,320.0,not,not,not,not,110,449657120
CONTCODE,CNT,Other,4,Miscellaneous Expenses - Contributions,10,College students living away from home,100.0,not,not,not,not,100,25834953200
CONTCODE,CNT,Other,4,Miscellaneous Expenses - Contributions,10,Educational institutions,130.0,not,not,not,not,130,986239800
CONTCODE,CNT,Other,4,Miscellaneous Expenses - Contributions,10,"Given stocks, bonds, or mutual funds to persons or organizations outside your CU",180.0,not,not,not,not,180,1283914800
CONTCODE,CNT,Other,4,Miscellaneous Expenses - Contributions,10,Political organizations,140.0,not,not,not,not,140,1084769840
CONTCODE,CNT,Other,4,Miscellaneous Expenses - Contributions,10,Religious organizations,150.0,not,not,not,not,150,11507172600
MATNSPX,CRA,Property,494,Home Renovation and Materials - Job,24,"Building an addition to the house or a new structure including porch, garage or new wing",110.0,not,not,not,not,110,18106880
MATNSPX,CRA,Property,494,Home Renovation and Materials - Job,24,Termite or other pest control,250.0,not,not,not,not,250,207726000
MATNSPX,CRA,Property,494,Home Renovation and Materials - Job,24,Heating or air- conditioning jobs,220.0,not,not,not,not,220,61203120
MATNSPX,CRA,Property,494,Home Renovation and Materials - Job,24,"Repairing outdoor patios, walks, fences, driveways, or permanent swimming pools",160.0,not,not,not,not,160,91562240
MATNSPX,CRA,Property,494,Home Renovation and Materials - Job,24,Remodeling one or more rooms,130.0,not,not,not,not,130,41751320
MATNSPX,CRA,Property,494,Home Renovation and Materials - Job,24,Inside painting or papering,170.0,not,not,not,not,170,36093040
MATNSPX,CRA,Property,494,Home Renovation and Materials - Job,24,Outside painting,180.0,not,not,not,not,180,32717520
MATNSPX,CRA,Property,494,Home Renovation and Materials - Job,24,Electrical work,210.0,not,not,not,not,210,2871960
MATNSPX,CRA,Property,494,Home Renovation and Materials - Job,24,"Building outdoor patios, walks, fences, or other enclosures, driveways, or permanent swimming pools",150.0,not,not,not,not,150,487559400
MATNSPX,CRA,Property,494,Home Renovation and Materials - Job,24,Finishing a basement or an attic or enclosing a porch,120.0,not,not,not,not,120,47466720
MATNSPX,CRA,Property,494,Home Renovation and Materials - Job,24,"Installation, repair, or replacement of window panes, screens, storm doors, awnings, etc.",280.0,not,not,not,not,280,77946400
MATNSPX,CRA,Property,494,Home Renovation and Materials - Job,24,Insulation,240.0,not,not,not,not,240,0
MATNSPX,CRA,Property,494,Home Renovation and Materials - Job,24,Landscaping the ground or planting new shrubs or trees,140.0,not,not,not,not,140,0
MATNSPX,CRA,Property,494,Home Renovation and Materials - Job,24,"Masonry, brick or stucco work",290.0,not,not,not,not,290,0
MATNSPX,CRA,Property,494,Home Renovation and Materials - Job,24,Other improvements or repairs,300.0,not,not,not,not,300,520011600
MATNSPX,CRA,Property,494,Home Renovation and Materials - Job,24,"Painting, either interior or exterior, or wallpapering",175.0,not,not,not,not,175,22076600
MATNSPX,CRA,Property,494,Home Renovation and Materials - Job,24,Plastering or paneling,190.0,not,not,not,not,190,36296840
MATNSPX,CRA,Property,494,Home Renovation and Materials - Job,24,Plumbing or water heating installations and repairs,200.0,not,not,not,not,200,630392000
MATNSPX,CRA,Property,494,Home Renovation and Materials - Job,24,"Roofing, gutters, or downspouts",260.0,not,not,not,not,260,76322480
MATNSPX,CRA,Property,494,Home Renovation and Materials - Job,24,Siding,270.0,not,not,not,not,270,0
CRMCODE,CRB,Property,494,Home Renovation and Materials - Job,24,"Building an addition to the house or a new structure including porch, garage or new wing",110.0,not,not,not,not,110,0
CRMCODE,CRB,Property,494,Home Renovation and Materials - Job,24,Termite or other pest control,250.0,not,not,not,not,250,0
CRMCODE,CRB,Property,494,Home Renovation and Materials - Job,24,Heating or air- conditioning jobs,220.0,not,not,not,not,220,0
CRMCODE,CRB,Property,494,Home Renovation and Materials - Job,24,"Repairing outdoor patios, walks, fences, driveways, or permanent swimming pools",160.0,not,not,not,not,160,0
CRMCODE,CRB,Property,494,Home Renovation and Materials - Job,24,Remodeling one or more rooms,130.0,not,not,not,not,130,6024720
CRMCODE,CRB,Property,494,Home Renovation and Materials - Job,24,Inside painting or papering,170.0,not,not,not,not,170,0
CRMCODE,CRB,Property,494,Home Renovation and Materials - Job,24,Outside painting,180.0,not,not,not,not,180,24359040
CRMCODE,CRB,Property,494,Home Renovation and Materials - Job,24,Electrical work,210.0,not,not,not,not,210,0
CRMCODE,CRB,Property,494,Home Renovation and Materials - Job,24,"Building outdoor patios, walks, fences, or other enclosures, driveways, or permanent swimming pools",150.0,not,not,not,not,150,23537400
CRMCODE,CRB,Property,494,Home Renovation and Materials - Job,24,Finishing a basement or an attic or enclosing a porch,120.0,not,not,not,not,120,21989280
CRMCODE,CRB,Property,494,Home Renovation and Materials - Job,24,"Installation, repair, or replacement of window panes, screens, storm doors, awnings, etc.",280.0,not,not,not,not,280,86474080
CRMCODE,CRB,Property,494,Home Renovation and Materials - Job,24,Insulation,240.0,not,not,not,not,240,28657920
CRMCODE,CRB,Property,494,Home Renovation and Materials - Job,24,Landscaping the ground or planting new shrubs or trees,140.0,not,not,not,not,140,0
CRMCODE,CRB,Property,494,Home Renovation and Materials - Job,24,"Masonry, brick or stucco work",290.0,not,not,not,not,290,0
CRMCODE,CRB,Property,494,Home Renovation and Materials - Job,24,Other improvements or repairs,300.0,not,not,not,not,300,234130800
CRMCODE,CRB,Property,494,Home Renovation and Materials - Job,24,"Painting, either interior or exterior, or wallpapering",175.0,not,not,not,not,175,0
CRMCODE,CRB,Property,494,Home Renovation and Materials - Job,24,Plastering or paneling,190.0,not,not,not,not,190,0
CRMCODE,CRB,Property,494,Home Renovation and Materials - Job,24,Plumbing or water heating installations and repairs,200.0,not,not,not,not,200,132432800
CRMCODE,CRB,Property,494,Home Renovation and Materials - Job,24,"Roofing, gutters, or downspouts",260.0,not,not,not,not,260,0
CRMCODE,CRB,Property,494,Home Renovation and Materials - Job,24,Siding,270.0,not,not,not,not,270,60702480
CRMCODEB,CRB,Property,494,Home Renovation and Materials - Job,24,"Building an addition to the house or a new structure including porch, garage or new wing",110.0,not,not,not,not,110,0
CRMCODEB,CRB,Property,494,Home Renovation and Materials - Job,24,Termite or other pest control,250.0,not,not,not,not,250,0
CRMCODEB,CRB,Property,494,Home Renovation and Materials - Job,24,Heating or air- conditioning jobs,220.0,not,not,not,not,220,0
CRMCODEB,CRB,Property,494,Home Renovation and Materials - Job,24,"Repairing outdoor patios, walks, fences, driveways, or permanent swimming pools",160.0,not,not,not,not,160,0
CRMCODEB,CRB,Property,494,Home Renovation and Materials - Job,24,Remodeling one or more rooms,130.0,not,not,not,not,130,6024720
CRMCODEB,CRB,Property,494,Home Renovation and Materials - Job,24,Inside painting or papering,170.0,not,not,not,not,170,0
CRMCODEB,CRB,Property,494,Home Renovation and Materials - Job,24,Outside painting,180.0,not,not,not,not,180,24359040
CRMCODEB,CRB,Property,494,Home Renovation and Materials - Job,24,Wall-to-wall carpet-original installation,231.0,not,not,not,not,231,0
CRMCODEB,CRB,Property,494,Home Renovation and Materials - Job,24,Wall-to-wall carpet-replacement,232.0,not,not,not,not,232,0
CRMCODEB,CRB,Property,494,Home Renovation and Materials - Job,24,Electrical work,210.0,not,not,not,not,210,0
CRMCODEB,CRB,Property,494,Home Renovation and Materials - Job,24,"Building outdoor patios, walks, fences, or other enclosures, driveways, or permanent swimming pools",150.0,not,not,not,not,150,23537400
CRMCODEB,CRB,Property,494,Home Renovation and Materials - Job,24,Finishing a basement or an attic or enclosing a porch,120.0,not,not,not,not,120,21989280
CRMCODEB,CRB,Property,494,Home Renovation and Materials - Job,24,"Installation, repair, or replacement of window panes, screens, storm doors, awnings, etc.",280.0,not,not,not,not,280,86474080
CRMCODEB,CRB,Property,494,Home Renovation and Materials - Job,24,Insulation,240.0,not,not,not,not,240,28657920
CRMCODEB,CRB,Property,494,Home Renovation and Materials - Job,24,Landscaping the ground or planting new shrubs or trees,140.0,not,not,not,not,140,0
CRMCODEB,CRB,Property,494,Home Renovation and Materials - Job,24,"Masonry, brick or stucco work",290.0,not,not,not,not,290,0
CRMCODEB,CRB,Property,494,Home Renovation and Materials - Job,24,Other improvements or repairs,300.0,not,not,not,not,300,234130800
CRMCODEB,CRB,Property,494,Home Renovation and Materials - Job,24,"Painting, either interior or exterior, or wallpapering",175.0,not,not,not,not,175,0
CRMCODEB,CRB,Property,494,Home Renovation and Materials - Job,24,Plastering or paneling,190.0,not,not,not,not,190,0
CRMCODEB,CRB,Property,494,Home Renovation and Materials - Job,24,Plumbing or water heating installations and repairs,200.0,not,not,not,not,200,132432800
CRMCODEB,CRB,Property,494,Home Renovation and Materials - Job,24,"Roofing, gutters, or downspouts",260.0,not,not,not,not,260,0
CRMCODEB,CRB,Property,494,Home Renovation and Materials - Job,24,Siding,270.0,not,not,not,not,270,60702480
CRMPTYPE,CRB,Property,494,Utilities and Services on Property,42,Property not owned or rented by CU,5.0,not,not,not,not,5,0
CRMPTYPE,CRB,Property,494,Utilities and Services on Property,42,Rented sample unit or other rental unit,4.0,not,not,not,not,4,0
CRMPTYPE,CRB,Property,494,Utilities and Services on Property,42,The sample unit or A home occupied by CU members last 3+ months but not at present,1.0,not,not,not,not,1,1375716
CRMPTYPE,CRB,Other,4,Insurance other Than Health,12,The sample unit or A home occupied by CU members last 3+ months but not at present,1.0,not,not,not,not,1,1375716
CRMPTYPE,CRB,Property,494,Utilities and Services on Property,42,Unimproved land or Other property (as of last quarter),3.0,not,not,not,not,3,0
CRMPTYPE,CRB,Other,4,Insurance other Than Health,12,Unimproved land or Other property (as of last quarter),3.0,not,not,not,not,3,0
CRMPTYPE,CRB,Property,494,Utilities and Services on Property,42,Vacation home or recreational property,2.0,not,not,not,not,2,0
CRMPTYPE,CRB,Other,4,Insurance other Than Health,12,Vacation home or recreational property,2.0,not,not,not,not,2,0
EDUC_AY,EDA,Education Expenses,15,"Combined expenses for books and tuition (300, 340, 350)",370,not,not,not,not,not,not,370,264390160
EDUC_AY,EDA,Education Expenses,15,"Combined tuition, room and board (300, 310, 320)",335,not,not,not,not,not,not,335,140654440
EDUC_AY,EDA,Education Expenses,15,Other school related expenses not already reported,360,not,not,not,not,not,not,360,781368480
EDUC_AY,EDA,Education Expenses,15,"Combined expenses for books and tuition (300, 350)",370,not,not,not,not,not,not,370,264390160
EDUC_AY,EDA,Education Expenses,15,"Combined expenses for tuition, housing, and food (300, 310, 320)",335,not,not,not,not,not,not,335,140654440
EDUC_AY,EDA,Education Expenses,15,"Combined room and board (310, 320)",330,not,not,not,not,not,not,330,363714120
EDUC_AY,EDA,Education Expenses,15,Food or board while attending school,320,not,not,not,not,not,not,320,1157029120
EDUC_AY,EDA,Education Expenses,15,Housing while attending school,310,not,not,not,not,not,not,310,365409400
EDUC_AY,EDA,Education Expenses,15,Nursery school or day care centers for members of this CU or other persons.,200,not,not,not,not,not,not,200,7470889600
EDUC_AY,EDA,Education Expenses,15,"Other combined educational expenses (not already reported) (100, 200, 300, 310, 320, 340-360)",380,not,not,not,not,not,not,380,524742000
EDUC_AY,EDA,Education Expenses,15,Other school related expenses (not already reported),360,not,not,not,not,not,not,360,781368480
EDUC_AY,EDA,Education Expenses,15,Private school bus,340,not,not,not,not,not,not,340,717817520
EDUC_AY,EDA,Education Expenses,15,"Purchase of any school books, supplies or equipment (not already reported).",350,not,not,not,not,not,not,350,3347240400
EDUC_AY,EDA,Education Expenses,15,Recreational lessons or other instructions for members of this CU or other persons,100,not,not,not,not,not,not,100,4504370400
EDUC_AY,EDA,Education Expenses,15,Test preperation or tutoring services,345,not,not,not,not,not,not,345,247122120
EDUC_AY,EDA,Education Expenses,15,"Tuition, including pre-paid tuition",300,not,not,not,not,not,not,300,8758354800
APPRPRYB,EQB,Property,494,Household Equipment Repair,12,"Garbage disposal, range hood, or built-in dishwasher",100.0,not,not,not,not,100,1381300400
APPRPRYB,EQB,Property,494,Household Equipment Repair,12,Personal care appliances,180.0,not,not,not,not,180,500686560
APPRPRYB,EQB,Property,494,Household Equipment Repair,12,"Computers, computer systems and related equipment for non-business use",220.0,not,not,not,not,220,128103360
APPRPRYB,EQB,Property,494,Household Equipment Repair,12,Hand or power tools,150.0,not,not,not,not,150,1795402200
APPRPRYB,EQB,Property,494,Household Equipment Repair,12,Heating or air conditioning equipment,200.0,not,not,not,not,200,1827150400
APPRPRYB,EQB,Property,494,Household Equipment Repair,12,Musical instruments and accessories,140.0,not,not,not,not,140,258243440
APPRPRYB,EQB,Property,494,Household Equipment Repair,12,"Other household appliances, including washer, refrigerator or range/oven",110.0,not,not,not,not,110,284903080
APPRPRYB,EQB,Property,494,Household Equipment Repair,12,Photographic equipment,160.0,not,not,not,not,160,365798400
APPRPRYB,EQB,Property,494,Household Equipment Repair,12,Sport and recreational equipment,170.0,not,not,not,not,170,471820040
APPRPRYB,EQB,Property,494,Household Equipment Repair,12,Termite or pest control treatment,190.0,not,not,not,not,190,172468320
FURNPURY,FRA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Combined expense (any item in section / part),900.0,not,not,900,4376959200
FURNPURY,FRA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Combined expense (any item in section / part),900.0,not,not,900,4376959200
FURNPURY,FRA,Property,494,Furniture purchases,49,Carpet squares,212.0,not,not,not,not,212,686230432
FURNPURY,FRA,Property,494,Furniture purchases,49,Non-installed wall-to-wall (original carpeting),211.0,not,not,not,not,211,246821048
FURNPURY,FRA,Property,494,Furniture purchases,49,Clocks,170.0,not,not,not,not,170,868284520
FURNPURY,FRA,Property,494,Furniture purchases,49,"Lamps, and other lighting fixtures",171.0,not,not,not,not,171,79589556
FURNPURY,FRA,Property,494,Furniture purchases,49,"Modular wall units, shelves or cabinets",103.0,not,not,not,not,103,73454244
FURNPURY,FRA,Property,494,Furniture purchases,49,Outdoor equipment,141.0,not,not,not,not,141,126832320
FURNPURY,FRA,Property,494,Furniture purchases,49,"Stainless, silver, and other flatwear",192.0,not,not,not,not,192,113323776
FURNPURY,FRA,Property,494,Furniture purchases,49,Travel items,181.0,not,not,not,not,181,154231548
FURNPURY,FRA,Property,494,Furniture purchases,49,"Venetian blinds, window shades, other window coverings",215.0,not,not,not,not,215,579378560
FURNPURY,FRA,Property,494,Furniture purchases,49,Wall-to-wall Carpet (replacement),211.0,not,not,not,not,211,246821048
FURNPURY,FRA,Property,494,Furniture purchases,49,China and other dinnerware,191.0,not,not,not,not,191,36228880
FURNPURY,FRA,Property,494,Furniture purchases,49,Glassware,193.0,not,not,not,not,193,194360264
FURNPURY,FRA,Property,494,Furniture purchases,49,Kitchen and dining room linens,202.0,not,not,not,not,202,0
FURNPURY,FRA,Property,494,Furniture purchases,49,Other linens,203.0,not,not,not,not,203,120964452
FURNPURY,FRA,Property,494,Furniture purchases,49,"Other living room, family or rec-room furniture including desks",105.0,not,not,not,not,105,516786480
FURNPURY,FRA,Property,494,Furniture purchases,49,Plastic dinnerware,190.0,not,not,not,not,190,399466640
FURNPURY,FRA,Property,494,Furniture purchases,49,Serving pieces other than silver,195.0,not,not,not,not,195,196595880
FURNPURY,FRA,Property,494,Furniture purchases,49,Silver serving pieces,198.0,not,not,not,not,198,37055304
FURNPURY,FRA,Property,494,Furniture purchases,49,Closet storage items,103.0,not,not,not,not,180,1352870640
FURNPURY,FRA,Property,494,Furniture purchases,49,"Wall units, shelves, or cabinets",103.0,not,not,not,not,103,73454244
FURNPURY,FRA,Property,494,Furniture purchases,49,"Room-size rugs and other non-permanent floor coverings, including carpet squares",212.0,not,not,not,not,212,686230432
FURNPURY,FRA,Property,494,Furniture purchases,49,All dining room and kitchen furniture,110.0,not,not,not,not,110,901530080
FURNPURY,FRA,Property,494,Furniture purchases,49,All office furniture for home use,150.0,not,not,not,not,150,6589657800
FURNPURY,FRA,Property,494,Furniture purchases,49,Barbeque grills or outdoor decorative items,141.0,not,not,not,not,141,126832320
FURNPURY,FRA,Property,494,Furniture purchases,49,Bathroom linens,201.0,not,not,not,not,201,45409116
FURNPURY,FRA,Property,494,Furniture purchases,49,Bedroom furniture other than mattresses and springs,121.0,not,not,not,not,121,68478740
FURNPURY,FRA,Property,494,Furniture purchases,49,Bedroom linens,201.0,not,not,not,not,200,11041566400
FURNPURY,FRA,Property,494,Furniture purchases,49,"Blinds, shades, other window coverings",215.0,not,not,not,not,215,579378560
FURNPURY,FRA,Property,494,Furniture purchases,49,Closet and storage items,180.0,not,not,not,not,180,1352870640
FURNPURY,FRA,Property,494,Furniture purchases,49,Curtains and drapes,214.0,not,not,not,not,214,1051393984
FURNPURY,FRA,Property,494,Furniture purchases,49,"Dishes, glasses, or serving pieces",199.0,not,not,not,not,199,370031744
FURNPURY,FRA,Property,494,Furniture purchases,49,Infants equipment,131.0,not,not,not,not,131,347489552
FURNPURY,FRA,Property,494,Furniture purchases,49,Infants furniture,130.0,not,not,not,not,130,1213191720
FURNPURY,FRA,Property,494,Furniture purchases,49,Installed wall-to-wall (original carpeting),210.0,not,not,not,not,210,310314480
FURNPURY,FRA,Property,494,Furniture purchases,49,Installed wall-to-wall (replacement carpeting),216.0,not,not,not,not,216,703784160
FURNPURY,FRA,Property,494,Furniture purchases,49,Living room chairs,101.0,not,not,not,not,101,103182408
FURNPURY,FRA,Property,494,Furniture purchases,49,Mattresses and springs,120.0,not,not,not,not,120,2299888320
FURNPURY,FRA,Property,494,Furniture purchases,49,Non-electric cookware,196.0,not,not,not,not,196,174606992
FURNPURY,FRA,Property,494,Furniture purchases,49,Non-installed wall-to-wall (replacement carpeting),217.0,not,not,not,not,217,349812680
FURNPURY,FRA,Property,494,Furniture purchases,49,Living room tables,102.0,not,not,not,not,102,142888536
FURNPURY,FRA,Property,494,Furniture purchases,49,Other household decorative items,173.0,not,not,not,not,173,159041668
FURNPURY,FRA,Property,494,Furniture purchases,49,"Patio, porch or outdoor furniture",140.0,not,not,not,not,140,1002490160
FURNPURY,FRA,Property,494,Furniture purchases,49,"Ping pong, pool tables, other similar items",104.0,not,not,not,not,104,153067200
FURNPURY,FRA,Property,494,Furniture purchases,49,"Rugs and other non-permanent floor coverings, including carpet squares",212.0,not,not,not,not,212,686230432
FURNPURY,FRA,Property,494,Furniture purchases,49,"Slipcovers, decorative pillows and cushions",205.0,not,not,not,not,205,136016680
FURNPURY,FRA,Property,494,Furniture purchases,49,Sofas,100.0,not,not,not,not,100,8188182400
FURNPURY,FRA,Property,494,Furniture purchases,49,"Stainless, silver, and other flatware",192.0,not,not,not,not,192,113323776
FURNPURY,FRA,Property,494,Furniture purchases,49,Travel items including luggage,181.0,not,not,not,not,181,154231548
FURNPURY,FRA,Property,494,Utilities and Services on Property,42,Combined expense (any item in section / part),900.0,not,not,not,not,900,4376959200
FURNPURY,FRA,Health Care,3,Payments for Medical Expenses,50,Combined expense (any item in section / part),900.0,not,not,not,not,900,4376959200
FURNPURY,FRA,Health Care,3,Reimbursements for Medical Expenses,50,Combined expense (any item in section / part),900.0,not,not,not,not,900,4376959200
OWNYG,HEL,Property,494,Home Equity Loans,6,Unimproved land,400.0,not,not,not,not,400,0
OWNYG,HEL,Property,494,Owned Real Estage Mortages,6,Unimproved land,400.0,not,not,not,not,400,0
OWNYG,HEL,Property,494,Owned Living Quarters and Real Estate ,7,Unimproved land,400.0,not,not,not,not,400,0
OWNYG,HEL,Property,494,Home Equity Loans,6,Other property,500.0,not,not,not,not,500,0
OWNYG,HEL,Property,494,Owned Real Estage Mortages,6,Other property,500.0,not,not,not,not,500,0
OWNYG,HEL,Property,494,Owned Living Quarters and Real Estate ,7,Other property,500.0,not,not,not,not,500,0
OWNYG,HEL,Property,494,Utilities and Services on Property,42,Vacation home or recreational property,2.0,not,not,not,not,300,0
OWNYG,HEL,Other,4,Insurance other Than Health,12,Vacation home or recreational property,2.0,not,not,not,not,300,0
HHITYPYB,IHB,Health Care,3,Health Insurance,11,Blue Cross and/or Blue Shield,1.0,not,not,not,not,1,0
HHITYPYB,IHB,Health Care,3,Health Insurance,11,Blue Cross and/or Blue Shield,1.0,not,not,not,not,1,0
HHITYPYB,IHB,Health Care,3,Health Insurance,11,Commercial health insurance company,2.0,not,not,not,not,2,0
HHITYPYB,IHB,Health Care,3,Health Insurance,11,Commercial health insurance company,2.0,not,not,not,not,2,0
HHITYPYB,IHB,Health Care,3,Health Insurance,11,Commercial Medicare supplement,4.0,not,not,not,not,4,0
HHITYPYB,IHB,Health Care,3,Health Insurance,11,Commercial Medicare supplement,4.0,not,not,not,not,4,0
HHITYPYB,IHB,Health Care,3,Health Insurance,11,"Dental insurance, only",5.0,not,not,not,not,5,0
HHITYPYB,IHB,Health Care,3,Health Insurance,11,"Dental insurance, only",5.0,not,not,not,not,5,0
HHITYPYB,IHB,Health Care,3,Health Insurance,11,Health maintenance plan,3.0,not,not,not,not,3,0
HHITYPYB,IHB,Health Care,3,Health Insurance,11,Health maintenance plan,3.0,not,not,not,not,3,0
HHITYPYB,IHB,Health Care,3,Health Insurance,11,Other health insurance,6.0,not,not,not,not,6,0
HHITYPYB,IHB,Health Care,3,Health Insurance,11,Other health insurance,6.0,not,not,not,not,6,0
POLICYYB,INB,Other,4,Insurance other Than Health,12,Fire and Extended Coverage,500.0,not,not,not,not,500,0
POLICYYB,INB,Other,4,Insurance other Than Health,12,Automobile Insurance,200.0,not,not,not,not,200,0
POLICYYB,INB,Other,4,Insurance other Than Health,12,Combined insurance,900.0,not,not,not,not,900,0
POLICYYB,INB,Other,4,Insurance other Than Health,12,Life Insurance,100.0,not,not,not,not,100,0
POLICYYB,INB,Other,4,Insurance other Than Health,12,Long Term Care Insurance,110.0,not,not,not,not,110,0
POLICYYB,INB,Other,4,Insurance other Than Health,12,Other Non-Health Ins.,500.0,not,not,not,not,500,0
POLICYYB,INB,Other,4,Insurance other Than Health,12,Other Non-Health Ins.,500.0,not,not,not,not,600,0
POLICYYB,INB,Other,4,Insurance other Than Health,12,Other Non-Health Ins.,600.0,not,not,not,not,500,0
POLICYYB,INB,Other,4,Insurance other Than Health,12,Other Non-Health Ins.,600.0,not,not,not,not,600,0
INSPTYPE,INB,Property,494,Utilities and Services on Property,42,The sample unit or A home occupied by CU members last 3+ months but not at present,1.0,not,not,not,not,1,0
INSPTYPE,INB,Other,4,Insurance other Than Health,12,The sample unit or A home occupied by CU members last 3+ months but not at present,1.0,not,not,not,not,1,0
INSPTYPE,INB,Property,494,Utilities and Services on Property,42,Unimproved land or Other property (as of last quarter),3.0,not,not,not,not,3,0
INSPTYPE,INB,Other,4,Insurance other Than Health,12,Unimproved land or Other property (as of last quarter),3.0,not,not,not,not,3,0
INSPTYPE,INB,Property,494,Utilities and Services on Property,42,Vacation home or recreational property,2.0,not,not,not,not,2,0
INSPTYPE,INB,Other,4,Insurance other Than Health,12,Vacation home or recreational property,2.0,not,not,not,not,2,0
LSDCODE,LSD,Property,494,Vehicles,12,Automobile,100.0,not,not,not,not,100,0
LSDCODE,LSD,Vehicles,5,Rented and Leased Vehicles,3,Automobile,100.0,not,not,not,not,100,0
LSDCODE,LSD,Vehicles,5,Owned Vehicle Detailed,23,Automobile,100.0,not,not,not,not,100,0
LSDCODE,LSD,Vehicles,5,Owned Vehicle Detailed,23,Automobile,100.0,not,not,not,not,100,0
LSDCODE,LSD,Vehicles,5,Owned Vehicles,23,Automobile,100.0,not,not,not,not,100,0
LSDCODE,LSD,Vehicles,5,Owned Vehicles,23,Automobile,100.0,not,not,not,not,100,0
LSDCODE,LSD,Vehicles,5,Vehicle Expenses - Maintenance,9,Automobile,100.0,not,not,not,not,100,0
LSDCODE,LSD,Property,494,Vehicles,12,Truck or Van,110.0,not,not,not,not,110,0
LSDCODE,LSD,Vehicles,5,Rented and Leased Vehicles,3,Truck or Van,110.0,not,not,not,not,110,0
LSDCODE,LSD,Vehicles,5,Owned Vehicle Detailed,23,Truck or Van,110.0,not,not,not,not,110,0
LSDCODE,LSD,Vehicles,5,Owned Vehicle Detailed,23,Truck or Van,110.0,not,not,not,not,110,0
LSDCODE,LSD,Vehicles,5,Owned Vehicles,23,Truck or Van,110.0,not,not,not,not,110,0
LSDCODE,LSD,Vehicles,5,Owned Vehicles,23,Truck or Van,110.0,not,not,not,not,110,0
LSDCODE,LSD,Property,494,Vehicles,12,"Automobile, truck, van, minivan, or SUV",105.0,not,not,not,not,105,0
LSDCODE,LSD,Vehicles,5,Rented and Leased Vehicles,3,"Automobile, truck, van, minivan, or SUV",105.0,not,not,not,not,105,0
LSDCODE,LSD,Vehicles,5,Owned Vehicle Detailed,23,"Automobile, truck, van, minivan, or SUV",105.0,not,not,not,not,105,0
LSDCODE,LSD,Vehicles,5,Owned Vehicles,23,"Automobile, truck, van, minivan, or SUV",105.0,not,not,not,not,105,0
MEDPCARY,MDB,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Combined expense (any item in section / part),900.0,not,not,900,3418902000
